"sex","region","year",Average monthly salary in the municipalities
"men","00 Sweden","2007",23500
"men","00 Sweden","2008",24700
"men","00 Sweden","2009",25400
"men","00 Sweden","2010",25700
"men","00 Sweden","2011",26300
"men","00 Sweden","2012",26900
"men","00 Sweden","2013",27700
"men","00 Sweden","2014",28400
"men","00 Sweden","2015",29000
"men","00 Sweden","2016",29700
"men","00 Sweden","2017",30500
"men","00 Sweden","2018",31200
"men","00 Sweden","2019",32000
"men","00 Sweden","2020",32600
"men","0114 Upplands Väsby","2007",24300
"men","0114 Upplands Väsby","2008",26000
"men","0114 Upplands Väsby","2009",27200
"men","0114 Upplands Väsby","2010",26900
"men","0114 Upplands Väsby","2011",28400
"men","0114 Upplands Väsby","2012",29200
"men","0114 Upplands Väsby","2013",30300
"men","0114 Upplands Väsby","2014",31300
"men","0114 Upplands Väsby","2015",31900
"men","0114 Upplands Väsby","2016",33000
"men","0114 Upplands Väsby","2017",33400
"men","0114 Upplands Väsby","2018",34300
"men","0114 Upplands Väsby","2019",34900
"men","0114 Upplands Väsby","2020",36100
"men","0115 Vallentuna","2007",22700
"men","0115 Vallentuna","2008",24100
"men","0115 Vallentuna","2009",25000
"men","0115 Vallentuna","2010",25400
"men","0115 Vallentuna","2011",25800
"men","0115 Vallentuna","2012",26600
"men","0115 Vallentuna","2013",27300
"men","0115 Vallentuna","2014",28700
"men","0115 Vallentuna","2015",29600
"men","0115 Vallentuna","2016",30700
"men","0115 Vallentuna","2017",32400
"men","0115 Vallentuna","2018",33300
"men","0115 Vallentuna","2019",34800
"men","0115 Vallentuna","2020",35900
"men","0117 Österåker","2007",23500
"men","0117 Österåker","2008",24500
"men","0117 Österåker","2009",25100
"men","0117 Österåker","2010",25300
"men","0117 Österåker","2011",25500
"men","0117 Österåker","2012",25800
"men","0117 Österåker","2013",27000
"men","0117 Österåker","2014",27700
"men","0117 Österåker","2015",28800
"men","0117 Österåker","2016",30500
"men","0117 Österåker","2017",31200
"men","0117 Österåker","2018",32400
"men","0117 Österåker","2019",33200
"men","0117 Österåker","2020",33900
"men","0120 Värmdö","2007",24400
"men","0120 Värmdö","2008",25600
"men","0120 Värmdö","2009",25400
"men","0120 Värmdö","2010",25900
"men","0120 Värmdö","2011",27100
"men","0120 Värmdö","2012",27800
"men","0120 Värmdö","2013",28700
"men","0120 Värmdö","2014",29200
"men","0120 Värmdö","2015",30000
"men","0120 Värmdö","2016",31100
"men","0120 Värmdö","2017",31400
"men","0120 Värmdö","2018",32100
"men","0120 Värmdö","2019",33500
"men","0120 Värmdö","2020",33700
"men","0123 Järfälla","2007",24200
"men","0123 Järfälla","2008",25300
"men","0123 Järfälla","2009",25700
"men","0123 Järfälla","2010",26300
"men","0123 Järfälla","2011",26900
"men","0123 Järfälla","2012",27900
"men","0123 Järfälla","2013",28700
"men","0123 Järfälla","2014",29400
"men","0123 Järfälla","2015",29900
"men","0123 Järfälla","2016",30800
"men","0123 Järfälla","2017",31600
"men","0123 Järfälla","2018",32200
"men","0123 Järfälla","2019",32900
"men","0123 Järfälla","2020",33600
"men","0125 Ekerö","2007",23300
"men","0125 Ekerö","2008",24400
"men","0125 Ekerö","2009",24900
"men","0125 Ekerö","2010",25700
"men","0125 Ekerö","2011",26400
"men","0125 Ekerö","2012",27100
"men","0125 Ekerö","2013",28000
"men","0125 Ekerö","2014",28400
"men","0125 Ekerö","2015",29300
"men","0125 Ekerö","2016",30800
"men","0125 Ekerö","2017",30900
"men","0125 Ekerö","2018",32300
"men","0125 Ekerö","2019",33200
"men","0125 Ekerö","2020",34100
"men","0126 Huddinge","2007",24300
"men","0126 Huddinge","2008",25200
"men","0126 Huddinge","2009",25800
"men","0126 Huddinge","2010",26100
"men","0126 Huddinge","2011",26700
"men","0126 Huddinge","2012",27300
"men","0126 Huddinge","2013",28100
"men","0126 Huddinge","2014",29200
"men","0126 Huddinge","2015",29700
"men","0126 Huddinge","2016",30900
"men","0126 Huddinge","2017",31900
"men","0126 Huddinge","2018",32600
"men","0126 Huddinge","2019",33700
"men","0126 Huddinge","2020",34500
"men","0127 Botkyrka","2007",23900
"men","0127 Botkyrka","2008",25300
"men","0127 Botkyrka","2009",26000
"men","0127 Botkyrka","2010",26400
"men","0127 Botkyrka","2011",26700
"men","0127 Botkyrka","2012",27200
"men","0127 Botkyrka","2013",28300
"men","0127 Botkyrka","2014",28700
"men","0127 Botkyrka","2015",29800
"men","0127 Botkyrka","2016",30800
"men","0127 Botkyrka","2017",32100
"men","0127 Botkyrka","2018",33000
"men","0127 Botkyrka","2019",34500
"men","0127 Botkyrka","2020",35500
"men","0128 Salem","2007",23900
"men","0128 Salem","2008",25200
"men","0128 Salem","2009",26300
"men","0128 Salem","2010",27000
"men","0128 Salem","2011",27200
"men","0128 Salem","2012",27800
"men","0128 Salem","2013",28700
"men","0128 Salem","2014",29600
"men","0128 Salem","2015",30300
"men","0128 Salem","2016",31700
"men","0128 Salem","2017",32400
"men","0128 Salem","2018",33900
"men","0128 Salem","2019",35300
"men","0128 Salem","2020",36400
"men","0136 Haninge","2007",24400
"men","0136 Haninge","2008",25800
"men","0136 Haninge","2009",26300
"men","0136 Haninge","2010",26600
"men","0136 Haninge","2011",27400
"men","0136 Haninge","2012",28000
"men","0136 Haninge","2013",29100
"men","0136 Haninge","2014",30300
"men","0136 Haninge","2015",31000
"men","0136 Haninge","2016",32300
"men","0136 Haninge","2017",33100
"men","0136 Haninge","2018",34300
"men","0136 Haninge","2019",35100
"men","0136 Haninge","2020",35800
"men","0138 Tyresö","2007",24200
"men","0138 Tyresö","2008",25600
"men","0138 Tyresö","2009",25600
"men","0138 Tyresö","2010",26400
"men","0138 Tyresö","2011",27000
"men","0138 Tyresö","2012",27900
"men","0138 Tyresö","2013",28500
"men","0138 Tyresö","2014",29300
"men","0138 Tyresö","2015",30200
"men","0138 Tyresö","2016",30900
"men","0138 Tyresö","2017",32200
"men","0138 Tyresö","2018",33200
"men","0138 Tyresö","2019",34000
"men","0138 Tyresö","2020",34700
"men","0139 Upplands-Bro","2007",24200
"men","0139 Upplands-Bro","2008",25000
"men","0139 Upplands-Bro","2009",24700
"men","0139 Upplands-Bro","2010",25200
"men","0139 Upplands-Bro","2011",26800
"men","0139 Upplands-Bro","2012",27300
"men","0139 Upplands-Bro","2013",27600
"men","0139 Upplands-Bro","2014",28700
"men","0139 Upplands-Bro","2015",29500
"men","0139 Upplands-Bro","2016",31100
"men","0139 Upplands-Bro","2017",32300
"men","0139 Upplands-Bro","2018",33400
"men","0139 Upplands-Bro","2019",34400
"men","0139 Upplands-Bro","2020",34200
"men","0140 Nykvarn","2007",25700
"men","0140 Nykvarn","2008",26000
"men","0140 Nykvarn","2009",26200
"men","0140 Nykvarn","2010",27000
"men","0140 Nykvarn","2011",27000
"men","0140 Nykvarn","2012",27100
"men","0140 Nykvarn","2013",28000
"men","0140 Nykvarn","2014",30600
"men","0140 Nykvarn","2015",31400
"men","0140 Nykvarn","2016",32900
"men","0140 Nykvarn","2017",33600
"men","0140 Nykvarn","2018",33600
"men","0140 Nykvarn","2019",34300
"men","0140 Nykvarn","2020",35200
"men","0160 Täby","2007",25000
"men","0160 Täby","2008",26400
"men","0160 Täby","2009",26800
"men","0160 Täby","2010",27400
"men","0160 Täby","2011",27900
"men","0160 Täby","2012",28400
"men","0160 Täby","2013",29100
"men","0160 Täby","2014",29600
"men","0160 Täby","2015",30400
"men","0160 Täby","2016",32100
"men","0160 Täby","2017",32700
"men","0160 Täby","2018",34300
"men","0160 Täby","2019",35200
"men","0160 Täby","2020",36000
"men","0162 Danderyd","2007",24100
"men","0162 Danderyd","2008",25200
"men","0162 Danderyd","2009",25600
"men","0162 Danderyd","2010",26200
"men","0162 Danderyd","2011",26600
"men","0162 Danderyd","2012",27900
"men","0162 Danderyd","2013",28500
"men","0162 Danderyd","2014",29100
"men","0162 Danderyd","2015",30400
"men","0162 Danderyd","2016",31300
"men","0162 Danderyd","2017",32300
"men","0162 Danderyd","2018",34000
"men","0162 Danderyd","2019",35000
"men","0162 Danderyd","2020",36700
"men","0163 Sollentuna","2007",24000
"men","0163 Sollentuna","2008",25600
"men","0163 Sollentuna","2009",26200
"men","0163 Sollentuna","2010",26500
"men","0163 Sollentuna","2011",27400
"men","0163 Sollentuna","2012",27700
"men","0163 Sollentuna","2013",29700
"men","0163 Sollentuna","2014",30800
"men","0163 Sollentuna","2015",31400
"men","0163 Sollentuna","2016",32600
"men","0163 Sollentuna","2017",34000
"men","0163 Sollentuna","2018",35100
"men","0163 Sollentuna","2019",36300
"men","0163 Sollentuna","2020",37000
"men","0180 Stockholm","2007",24200
"men","0180 Stockholm","2008",25600
"men","0180 Stockholm","2009",25600
"men","0180 Stockholm","2010",26100
"men","0180 Stockholm","2011",26800
"men","0180 Stockholm","2012",27400
"men","0180 Stockholm","2013",28400
"men","0180 Stockholm","2014",29500
"men","0180 Stockholm","2015",30200
"men","0180 Stockholm","2016",31300
"men","0180 Stockholm","2017",32100
"men","0180 Stockholm","2018",33000
"men","0180 Stockholm","2019",33900
"men","0180 Stockholm","2020",34400
"men","0181 Södertälje","2007",23500
"men","0181 Södertälje","2008",24800
"men","0181 Södertälje","2009",25500
"men","0181 Södertälje","2010",26100
"men","0181 Södertälje","2011",26200
"men","0181 Södertälje","2012",27000
"men","0181 Södertälje","2013",27700
"men","0181 Södertälje","2014",28700
"men","0181 Södertälje","2015",29500
"men","0181 Södertälje","2016",30500
"men","0181 Södertälje","2017",31300
"men","0181 Södertälje","2018",32400
"men","0181 Södertälje","2019",33400
"men","0181 Södertälje","2020",34300
"men","0182 Nacka","2007",25000
"men","0182 Nacka","2008",26400
"men","0182 Nacka","2009",27000
"men","0182 Nacka","2010",27000
"men","0182 Nacka","2011",28100
"men","0182 Nacka","2012",28700
"men","0182 Nacka","2013",29100
"men","0182 Nacka","2014",29900
"men","0182 Nacka","2015",31100
"men","0182 Nacka","2016",32200
"men","0182 Nacka","2017",33300
"men","0182 Nacka","2018",34700
"men","0182 Nacka","2019",35600
"men","0182 Nacka","2020",35900
"men","0183 Sundbyberg","2007",24000
"men","0183 Sundbyberg","2008",25400
"men","0183 Sundbyberg","2009",26400
"men","0183 Sundbyberg","2010",26500
"men","0183 Sundbyberg","2011",27000
"men","0183 Sundbyberg","2012",27500
"men","0183 Sundbyberg","2013",28600
"men","0183 Sundbyberg","2014",29600
"men","0183 Sundbyberg","2015",30200
"men","0183 Sundbyberg","2016",31500
"men","0183 Sundbyberg","2017",32300
"men","0183 Sundbyberg","2018",33000
"men","0183 Sundbyberg","2019",34400
"men","0183 Sundbyberg","2020",34900
"men","0184 Solna","2007",24200
"men","0184 Solna","2008",25500
"men","0184 Solna","2009",25900
"men","0184 Solna","2010",26300
"men","0184 Solna","2011",26800
"men","0184 Solna","2012",28000
"men","0184 Solna","2013",28800
"men","0184 Solna","2014",29600
"men","0184 Solna","2015",30700
"men","0184 Solna","2016",31300
"men","0184 Solna","2017",32600
"men","0184 Solna","2018",33800
"men","0184 Solna","2019",34900
"men","0184 Solna","2020",35300
"men","0186 Lidingö","2007",23600
"men","0186 Lidingö","2008",25000
"men","0186 Lidingö","2009",25400
"men","0186 Lidingö","2010",26000
"men","0186 Lidingö","2011",26800
"men","0186 Lidingö","2012",27200
"men","0186 Lidingö","2013",28200
"men","0186 Lidingö","2014",29000
"men","0186 Lidingö","2015",29700
"men","0186 Lidingö","2016",31000
"men","0186 Lidingö","2017",31500
"men","0186 Lidingö","2018",32200
"men","0186 Lidingö","2019",33300
"men","0186 Lidingö","2020",33800
"men","0187 Vaxholm","2007",23000
"men","0187 Vaxholm","2008",23700
"men","0187 Vaxholm","2009",24700
"men","0187 Vaxholm","2010",25000
"men","0187 Vaxholm","2011",25200
"men","0187 Vaxholm","2012",25500
"men","0187 Vaxholm","2013",26400
"men","0187 Vaxholm","2014",28700
"men","0187 Vaxholm","2015",29800
"men","0187 Vaxholm","2016",30600
"men","0187 Vaxholm","2017",32000
"men","0187 Vaxholm","2018",32900
"men","0187 Vaxholm","2019",33400
"men","0187 Vaxholm","2020",34500
"men","0188 Norrtälje","2007",24700
"men","0188 Norrtälje","2008",25900
"men","0188 Norrtälje","2009",26700
"men","0188 Norrtälje","2010",27000
"men","0188 Norrtälje","2011",28000
"men","0188 Norrtälje","2012",28700
"men","0188 Norrtälje","2013",29900
"men","0188 Norrtälje","2014",31200
"men","0188 Norrtälje","2015",31800
"men","0188 Norrtälje","2016",32100
"men","0188 Norrtälje","2017",33500
"men","0188 Norrtälje","2018",34700
"men","0188 Norrtälje","2019",35900
"men","0188 Norrtälje","2020",36500
"men","0191 Sigtuna","2007",25000
"men","0191 Sigtuna","2008",26100
"men","0191 Sigtuna","2009",26500
"men","0191 Sigtuna","2010",27100
"men","0191 Sigtuna","2011",27800
"men","0191 Sigtuna","2012",28500
"men","0191 Sigtuna","2013",29200
"men","0191 Sigtuna","2014",29800
"men","0191 Sigtuna","2015",30300
"men","0191 Sigtuna","2016",31000
"men","0191 Sigtuna","2017",32100
"men","0191 Sigtuna","2018",32500
"men","0191 Sigtuna","2019",33400
"men","0191 Sigtuna","2020",34600
"men","0192 Nynäshamn","2007",24800
"men","0192 Nynäshamn","2008",25700
"men","0192 Nynäshamn","2009",26400
"men","0192 Nynäshamn","2010",27000
"men","0192 Nynäshamn","2011",27300
"men","0192 Nynäshamn","2012",28400
"men","0192 Nynäshamn","2013",29100
"men","0192 Nynäshamn","2014",29900
"men","0192 Nynäshamn","2015",30300
"men","0192 Nynäshamn","2016",31200
"men","0192 Nynäshamn","2017",32800
"men","0192 Nynäshamn","2018",33900
"men","0192 Nynäshamn","2019",34600
"men","0192 Nynäshamn","2020",35100
"men","0305 Håbo","2007",24300
"men","0305 Håbo","2008",24400
"men","0305 Håbo","2009",24700
"men","0305 Håbo","2010",25700
"men","0305 Håbo","2011",26800
"men","0305 Håbo","2012",26600
"men","0305 Håbo","2013",28100
"men","0305 Håbo","2014",28300
"men","0305 Håbo","2015",29000
"men","0305 Håbo","2016",29600
"men","0305 Håbo","2017",30900
"men","0305 Håbo","2018",31700
"men","0305 Håbo","2019",33100
"men","0305 Håbo","2020",33500
"men","0319 Älvkarleby","2007",23100
"men","0319 Älvkarleby","2008",24000
"men","0319 Älvkarleby","2009",24700
"men","0319 Älvkarleby","2010",24200
"men","0319 Älvkarleby","2011",25600
"men","0319 Älvkarleby","2012",25800
"men","0319 Älvkarleby","2013",25900
"men","0319 Älvkarleby","2014",26500
"men","0319 Älvkarleby","2015",26600
"men","0319 Älvkarleby","2016",27900
"men","0319 Älvkarleby","2017",27600
"men","0319 Älvkarleby","2018",28300
"men","0319 Älvkarleby","2019",29300
"men","0319 Älvkarleby","2020",29800
"men","0330 Knivsta","2007",23700
"men","0330 Knivsta","2008",24500
"men","0330 Knivsta","2009",24400
"men","0330 Knivsta","2010",24000
"men","0330 Knivsta","2011",25900
"men","0330 Knivsta","2012",25900
"men","0330 Knivsta","2013",26900
"men","0330 Knivsta","2014",27900
"men","0330 Knivsta","2015",28700
"men","0330 Knivsta","2016",28900
"men","0330 Knivsta","2017",29700
"men","0330 Knivsta","2018",31200
"men","0330 Knivsta","2019",31900
"men","0330 Knivsta","2020",32500
"men","0331 Heby","2007",23200
"men","0331 Heby","2008",24400
"men","0331 Heby","2009",24800
"men","0331 Heby","2010",25200
"men","0331 Heby","2011",25500
"men","0331 Heby","2012",26000
"men","0331 Heby","2013",27000
"men","0331 Heby","2014",28200
"men","0331 Heby","2015",28300
"men","0331 Heby","2016",28700
"men","0331 Heby","2017",29200
"men","0331 Heby","2018",29900
"men","0331 Heby","2019",31100
"men","0331 Heby","2020",30700
"men","0360 Tierp","2007",23500
"men","0360 Tierp","2008",24000
"men","0360 Tierp","2009",24900
"men","0360 Tierp","2010",25100
"men","0360 Tierp","2011",25200
"men","0360 Tierp","2012",25900
"men","0360 Tierp","2013",26300
"men","0360 Tierp","2014",26800
"men","0360 Tierp","2015",28000
"men","0360 Tierp","2016",28900
"men","0360 Tierp","2017",29400
"men","0360 Tierp","2018",30300
"men","0360 Tierp","2019",30600
"men","0360 Tierp","2020",31400
"men","0380 Uppsala","2007",22600
"men","0380 Uppsala","2008",24100
"men","0380 Uppsala","2009",24700
"men","0380 Uppsala","2010",25200
"men","0380 Uppsala","2011",25600
"men","0380 Uppsala","2012",26200
"men","0380 Uppsala","2013",27100
"men","0380 Uppsala","2014",27700
"men","0380 Uppsala","2015",28400
"men","0380 Uppsala","2016",29100
"men","0380 Uppsala","2017",29900
"men","0380 Uppsala","2018",30600
"men","0380 Uppsala","2019",31200
"men","0380 Uppsala","2020",32100
"men","0381 Enköping","2007",23700
"men","0381 Enköping","2008",24700
"men","0381 Enköping","2009",25400
"men","0381 Enköping","2010",25700
"men","0381 Enköping","2011",26200
"men","0381 Enköping","2012",26900
"men","0381 Enköping","2013",27500
"men","0381 Enköping","2014",28100
"men","0381 Enköping","2015",28300
"men","0381 Enköping","2016",29100
"men","0381 Enköping","2017",29900
"men","0381 Enköping","2018",31200
"men","0381 Enköping","2019",31700
"men","0381 Enköping","2020",32200
"men","0382 Östhammar","2007",23400
"men","0382 Östhammar","2008",24800
"men","0382 Östhammar","2009",25800
"men","0382 Östhammar","2010",25100
"men","0382 Östhammar","2011",26300
"men","0382 Östhammar","2012",26300
"men","0382 Östhammar","2013",27300
"men","0382 Östhammar","2014",28200
"men","0382 Östhammar","2015",28600
"men","0382 Östhammar","2016",29600
"men","0382 Östhammar","2017",30300
"men","0382 Östhammar","2018",30900
"men","0382 Östhammar","2019",31200
"men","0382 Östhammar","2020",30900
"men","0428 Vingåker","2007",22700
"men","0428 Vingåker","2008",23500
"men","0428 Vingåker","2009",24600
"men","0428 Vingåker","2010",25100
"men","0428 Vingåker","2011",25500
"men","0428 Vingåker","2012",25500
"men","0428 Vingåker","2013",25900
"men","0428 Vingåker","2014",26600
"men","0428 Vingåker","2015",26400
"men","0428 Vingåker","2016",27600
"men","0428 Vingåker","2017",28100
"men","0428 Vingåker","2018",28700
"men","0428 Vingåker","2019",29500
"men","0428 Vingåker","2020",29900
"men","0461 Gnesta","2007",23100
"men","0461 Gnesta","2008",24600
"men","0461 Gnesta","2009",24800
"men","0461 Gnesta","2010",24900
"men","0461 Gnesta","2011",25900
"men","0461 Gnesta","2012",25800
"men","0461 Gnesta","2013",27100
"men","0461 Gnesta","2014",27900
"men","0461 Gnesta","2015",28300
"men","0461 Gnesta","2016",28800
"men","0461 Gnesta","2017",29800
"men","0461 Gnesta","2018",31200
"men","0461 Gnesta","2019",32000
"men","0461 Gnesta","2020",33300
"men","0480 Nyköping","2007",23600
"men","0480 Nyköping","2008",24700
"men","0480 Nyköping","2009",25300
"men","0480 Nyköping","2010",25600
"men","0480 Nyköping","2011",26300
"men","0480 Nyköping","2012",26300
"men","0480 Nyköping","2013",27100
"men","0480 Nyköping","2014",27800
"men","0480 Nyköping","2015",28300
"men","0480 Nyköping","2016",28600
"men","0480 Nyköping","2017",29600
"men","0480 Nyköping","2018",30600
"men","0480 Nyköping","2019",31300
"men","0480 Nyköping","2020",31900
"men","0481 Oxelösund","2007",23500
"men","0481 Oxelösund","2008",24000
"men","0481 Oxelösund","2009",25400
"men","0481 Oxelösund","2010",25500
"men","0481 Oxelösund","2011",26000
"men","0481 Oxelösund","2012",26500
"men","0481 Oxelösund","2013",26600
"men","0481 Oxelösund","2014",26600
"men","0481 Oxelösund","2015",27200
"men","0481 Oxelösund","2016",27800
"men","0481 Oxelösund","2017",28800
"men","0481 Oxelösund","2018",29400
"men","0481 Oxelösund","2019",29400
"men","0481 Oxelösund","2020",31100
"men","0482 Flen","2007",23400
"men","0482 Flen","2008",24600
"men","0482 Flen","2009",25100
"men","0482 Flen","2010",25300
"men","0482 Flen","2011",26200
"men","0482 Flen","2012",26300
"men","0482 Flen","2013",27200
"men","0482 Flen","2014",27700
"men","0482 Flen","2015",28500
"men","0482 Flen","2016",29200
"men","0482 Flen","2017",29600
"men","0482 Flen","2018",30300
"men","0482 Flen","2019",31400
"men","0482 Flen","2020",31900
"men","0483 Katrineholm","2007",23200
"men","0483 Katrineholm","2008",24400
"men","0483 Katrineholm","2009",25200
"men","0483 Katrineholm","2010",25300
"men","0483 Katrineholm","2011",25900
"men","0483 Katrineholm","2012",26200
"men","0483 Katrineholm","2013",26900
"men","0483 Katrineholm","2014",27500
"men","0483 Katrineholm","2015",27600
"men","0483 Katrineholm","2016",28000
"men","0483 Katrineholm","2017",28800
"men","0483 Katrineholm","2018",29200
"men","0483 Katrineholm","2019",30500
"men","0483 Katrineholm","2020",31300
"men","0484 Eskilstuna","2007",23200
"men","0484 Eskilstuna","2008",24200
"men","0484 Eskilstuna","2009",25100
"men","0484 Eskilstuna","2010",25700
"men","0484 Eskilstuna","2011",26200
"men","0484 Eskilstuna","2012",26500
"men","0484 Eskilstuna","2013",27400
"men","0484 Eskilstuna","2014",28100
"men","0484 Eskilstuna","2015",28600
"men","0484 Eskilstuna","2016",29100
"men","0484 Eskilstuna","2017",29900
"men","0484 Eskilstuna","2018",30700
"men","0484 Eskilstuna","2019",31300
"men","0484 Eskilstuna","2020",31900
"men","0486 Strängnäs","2007",24200
"men","0486 Strängnäs","2008",25700
"men","0486 Strängnäs","2009",25700
"men","0486 Strängnäs","2010",25500
"men","0486 Strängnäs","2011",26100
"men","0486 Strängnäs","2012",25400
"men","0486 Strängnäs","2013",27200
"men","0486 Strängnäs","2014",28300
"men","0486 Strängnäs","2015",28100
"men","0486 Strängnäs","2016",29000
"men","0486 Strängnäs","2017",30400
"men","0486 Strängnäs","2018",31000
"men","0486 Strängnäs","2019",31800
"men","0486 Strängnäs","2020",32400
"men","0488 Trosa","2007",24700
"men","0488 Trosa","2008",26400
"men","0488 Trosa","2009",26000
"men","0488 Trosa","2010",27300
"men","0488 Trosa","2011",28400
"men","0488 Trosa","2012",28900
"men","0488 Trosa","2013",29300
"men","0488 Trosa","2014",31500
"men","0488 Trosa","2015",30800
"men","0488 Trosa","2016",31000
"men","0488 Trosa","2017",32000
"men","0488 Trosa","2018",32900
"men","0488 Trosa","2019",34800
"men","0488 Trosa","2020",35200
"men","0509 Ödeshög","2007",23700
"men","0509 Ödeshög","2008",25900
"men","0509 Ödeshög","2009",25000
"men","0509 Ödeshög","2010",26500
"men","0509 Ödeshög","2011",26500
"men","0509 Ödeshög","2012",27500
"men","0509 Ödeshög","2013",28100
"men","0509 Ödeshög","2014",30100
"men","0509 Ödeshög","2015",30200
"men","0509 Ödeshög","2016",29800
"men","0509 Ödeshög","2017",32700
"men","0509 Ödeshög","2018",33100
"men","0509 Ödeshög","2019",34200
"men","0509 Ödeshög","2020",34700
"men","0512 Ydre","2007",23100
"men","0512 Ydre","2008",24900
"men","0512 Ydre","2009",25300
"men","0512 Ydre","2010",24800
"men","0512 Ydre","2011",26100
"men","0512 Ydre","2012",26300
"men","0512 Ydre","2013",28600
"men","0512 Ydre","2014",28900
"men","0512 Ydre","2015",28400
"men","0512 Ydre","2016",29700
"men","0512 Ydre","2017",29700
"men","0512 Ydre","2018",31400
"men","0512 Ydre","2019",31800
"men","0512 Ydre","2020",30800
"men","0513 Kinda","2007",24100
"men","0513 Kinda","2008",24800
"men","0513 Kinda","2009",25400
"men","0513 Kinda","2010",25100
"men","0513 Kinda","2011",25800
"men","0513 Kinda","2012",26600
"men","0513 Kinda","2013",27100
"men","0513 Kinda","2014",27800
"men","0513 Kinda","2015",28400
"men","0513 Kinda","2016",29200
"men","0513 Kinda","2017",30500
"men","0513 Kinda","2018",30300
"men","0513 Kinda","2019",30700
"men","0513 Kinda","2020",31000
"men","0560 Boxholm","2007",23700
"men","0560 Boxholm","2008",25400
"men","0560 Boxholm","2009",27900
"men","0560 Boxholm","2010",27300
"men","0560 Boxholm","2011",28600
"men","0560 Boxholm","2012",28000
"men","0560 Boxholm","2013",27800
"men","0560 Boxholm","2014",29400
"men","0560 Boxholm","2015",29200
"men","0560 Boxholm","2016",30800
"men","0560 Boxholm","2017",31800
"men","0560 Boxholm","2018",33000
"men","0560 Boxholm","2019",33100
"men","0560 Boxholm","2020",35000
"men","0561 Åtvidaberg","2007",23300
"men","0561 Åtvidaberg","2008",25000
"men","0561 Åtvidaberg","2009",26300
"men","0561 Åtvidaberg","2010",25700
"men","0561 Åtvidaberg","2011",26300
"men","0561 Åtvidaberg","2012",27200
"men","0561 Åtvidaberg","2013",27700
"men","0561 Åtvidaberg","2014",29100
"men","0561 Åtvidaberg","2015",29000
"men","0561 Åtvidaberg","2016",30200
"men","0561 Åtvidaberg","2017",29900
"men","0561 Åtvidaberg","2018",30900
"men","0561 Åtvidaberg","2019",31400
"men","0561 Åtvidaberg","2020",32700
"men","0562 Finspång","2007",23100
"men","0562 Finspång","2008",24400
"men","0562 Finspång","2009",24400
"men","0562 Finspång","2010",24900
"men","0562 Finspång","2011",25300
"men","0562 Finspång","2012",26400
"men","0562 Finspång","2013",26200
"men","0562 Finspång","2014",26500
"men","0562 Finspång","2015",26900
"men","0562 Finspång","2016",28300
"men","0562 Finspång","2017",28800
"men","0562 Finspång","2018",29500
"men","0562 Finspång","2019",30000
"men","0562 Finspång","2020",30500
"men","0563 Valdemarsvik","2007",24900
"men","0563 Valdemarsvik","2008",26400
"men","0563 Valdemarsvik","2009",26800
"men","0563 Valdemarsvik","2010",27700
"men","0563 Valdemarsvik","2011",28100
"men","0563 Valdemarsvik","2012",28800
"men","0563 Valdemarsvik","2013",29000
"men","0563 Valdemarsvik","2014",30300
"men","0563 Valdemarsvik","2015",30300
"men","0563 Valdemarsvik","2016",30700
"men","0563 Valdemarsvik","2017",31000
"men","0563 Valdemarsvik","2018",31000
"men","0563 Valdemarsvik","2019",32800
"men","0563 Valdemarsvik","2020",33100
"men","0580 Linköping","2007",23300
"men","0580 Linköping","2008",24800
"men","0580 Linköping","2009",25700
"men","0580 Linköping","2010",25700
"men","0580 Linköping","2011",26400
"men","0580 Linköping","2012",26800
"men","0580 Linköping","2013",28000
"men","0580 Linköping","2014",28800
"men","0580 Linköping","2015",29500
"men","0580 Linköping","2016",29900
"men","0580 Linköping","2017",30300
"men","0580 Linköping","2018",30800
"men","0580 Linköping","2019",31600
"men","0580 Linköping","2020",32200
"men","0581 Norrköping","2007",23000
"men","0581 Norrköping","2008",23900
"men","0581 Norrköping","2009",24700
"men","0581 Norrköping","2010",24900
"men","0581 Norrköping","2011",25200
"men","0581 Norrköping","2012",25900
"men","0581 Norrköping","2013",26400
"men","0581 Norrköping","2014",27100
"men","0581 Norrköping","2015",27600
"men","0581 Norrköping","2016",28000
"men","0581 Norrköping","2017",28700
"men","0581 Norrköping","2018",29500
"men","0581 Norrköping","2019",30200
"men","0581 Norrköping","2020",30800
"men","0582 Söderköping","2007",23800
"men","0582 Söderköping","2008",24800
"men","0582 Söderköping","2009",26200
"men","0582 Söderköping","2010",27300
"men","0582 Söderköping","2011",28000
"men","0582 Söderköping","2012",28200
"men","0582 Söderköping","2013",28700
"men","0582 Söderköping","2014",29200
"men","0582 Söderköping","2015",30500
"men","0582 Söderköping","2016",30800
"men","0582 Söderköping","2017",31100
"men","0582 Söderköping","2018",31700
"men","0582 Söderköping","2019",32300
"men","0582 Söderköping","2020",32700
"men","0583 Motala","2007",23400
"men","0583 Motala","2008",24600
"men","0583 Motala","2009",25200
"men","0583 Motala","2010",25700
"men","0583 Motala","2011",26300
"men","0583 Motala","2012",27400
"men","0583 Motala","2013",27700
"men","0583 Motala","2014",28700
"men","0583 Motala","2015",29000
"men","0583 Motala","2016",29900
"men","0583 Motala","2017",30800
"men","0583 Motala","2018",31300
"men","0583 Motala","2019",32200
"men","0583 Motala","2020",32600
"men","0584 Vadstena","2007",23900
